機能,区分一,区分二,区分三,正常/異常,テスト技法,入力,操作方法,期待値,自動テスト,担当者名,備考
配信トラッキング,保持運用,END削除構成,誤再送なし,正常系,デシジョンテーブル,"DeleteAfterVerify=false / TransferEndFiles=true（成功後にENDをローカル削除）/ 全宛先成功","put実行→変更なしで再put","保持マーカーをデータ単体指紋で記録するため、END削除で指紋が変わっても配信済み判定が崩れず、次回も全宛先へ再送しない。",○,,"★過去の誤再送バグの回帰防止（修正済）"
配信トラッキング,メール抑制,個別失敗抑制,宛先失敗詳細のみ,正常系,デシジョンテーブル,"Smtp.Enabled=true / SuppressPerDestinationFailureDetailEmails=true / 1宛先継続失敗","put実行する","個別宛先失敗の詳細メールのみ抑制し、ファイル単位の部分配信サマリ通知は送信する。終了コード1は維持。設定不備/認証など他のエラーメールも送信継続。",○,,"抑制判定述語(EventId1001のみ抑制/1002は送信)は自動テスト。実メール抑制は実SMTPで確認"
配信トラッキング,メール抑制,終了コード独立,抑制でも1,正常系,デシジョンテーブル,"上記の抑制ON","put実行する","メール抑制は通知のみを止め、ファイルログ記録と終了コード1には影響しない（監視で異常検知可能）。",○,,
ファイル削除安全性,put単一,成功で削除,Hash一致+DAV true,正常系,デシジョンテーブル,"DeleteAfterVerify=true / Hash有効 / 転送成功・ハッシュ一致","put実行する","検証成功後にローカルファイルを削除する（正しく消える）。",○,,"削除デシジョンテーブルの基準行"
ファイル削除安全性,put単一,失敗で保持,Hash不一致,異常系,デシジョンテーブル,"DeleteAfterVerify=true / Hash有効 / ハッシュ不一致が継続","put実行する","検証失敗のためローカル削除しない（保持）。終了コード1。",○,,"★消さない"
ファイル削除安全性,put単一,失敗で保持,転送失敗,異常系,デシジョンテーブル,"DeleteAfterVerify=true / 転送が失敗","put実行する","転送失敗のためローカル削除しない（保持）。終了コード1。",○,,"★消さない"
ファイル削除安全性,put単一,保持設定,DAV false,正常系,デシジョンテーブル,"DeleteAfterVerify=false / 転送成功","put実行する","成功してもローカルファイルを残す（消さない）。",○,,
ファイル削除安全性,put複数宛先,全成功で削除,全宛先OK,正常系,デシジョンテーブル,"複数宛先 / DeleteAfterVerify=true / 全宛先成功","put実行する","全宛先成功時のみローカル削除する。",○,,
ファイル削除安全性,put複数宛先,部分失敗で保持,1宛先NG,異常系,デシジョンテーブル,"複数宛先 / 1宛先失敗","put実行する","部分失敗ではローカル削除せず保持（retry退避）。終了コード1。",○,,"★1宛先でも失敗なら消さない"
ファイル削除安全性,put複数宛先,変更時保持,転送中変更,異常系,デシジョンテーブル,"複数宛先 / 転送中に元ファイル変更（EnableUploadSnapshot の有無を問わない）","put実行する","元ファイル変更時はローカル削除・retry退避をしない（保持）。終了コード1。スナップショット無効時はその回の宛先内容が割れ得るが、保持安全性は維持される。",○,,"★消さない"
ファイル削除安全性,END,未転送END保持,既定,正常系,デシジョンテーブル,"TransferEndFiles=false / DeleteLocalSkippedEndFiles=false / データ転送成功","put実行する","転送しないENDファイルはローカルに残る（消さない）。",○,,
ファイル削除安全性,END,未転送END削除,明示有効,正常系,デシジョンテーブル,"TransferEndFiles=false / DeleteLocalSkippedEndFiles=true / データ転送成功","put実行する","対応データ成功後に未転送ENDをローカル削除する（明示有効時のみ）。",○,,
ファイル削除安全性,完了前変更,既配信スキップ,変更検出で保持,異常系,状態遷移,"配信済みファイルのcleanup直前に内容変更","再put実行する","変更を検出して削除せず保持し終了コード1。",○,,"★消さない（HandleAlreadyDelivered）"
ENDファイル制御,必須判定,対応ENDあり,転送対象,正常系,デシジョンテーブル,"RequireEndFile=true / data.txtとdata.txt.ENDが揃っている","put実行する","対応ENDがあるためデータファイルが転送対象になる。",○,,
ENDファイル制御,必須判定,対応ENDなし,スキップ,正常系,デシジョンテーブル,"RequireEndFile=true / data.txtのみ（ENDなし）","put実行する","対応ENDが無いためデータファイルはスキップされる（中途半端な転送をしない）。",○,,
ENDファイル制御,END転送,順序保証,データ先行,正常系,状態遷移,"TransferEndFiles=true","put実行する","『データ→END』の順で転送される（ENDは受信側の完了合図のためデータ後）。",○,,
ENDファイル制御,END転送,大小保持,小文字end維持,正常系,同値分割,"EndFileExtensions=[.END] / ディスク上の実体はdata.txt.end（小文字）","put実行する","転送先もディスクの実体どおり.endのまま（設定の.ENDに勝手に変換しない）。",○,,
ENDファイル制御,END転送,大小保持,大文字END維持,正常系,同値分割,"ディスク上の実体がdata.txt.END","put実行する","転送先も.ENDのまま。",○,,
ENDファイル制御,END転送,整合性,転送と削除の一致,正常系,同値分割,"設定[.END] / ディスクは.end / TransferEndFiles=true","put実行する","列挙時に確定した同じEND集合を転送・削除に使うため、ENDが転送された上で成功時に削除される（未転送のまま消えない）。",○,,"★誤削除防止: 転送した物だけ消える"
ENDファイル制御,END転送,対応なしEND,孤立END,正常系,同値分割,"対応データの無いorphan.ENDのみ","put実行する","孤立ENDは転送されない。",○,,
ENDファイル制御,カスタム拡張子,複数拡張子,END/TRG混在,正常系,同値分割,"EndFileExtensions=[.END,.TRG]","put実行する","いずれの拡張子もENDとして認識し処理する。",○,,
ENDファイル制御,get方向,リモートEND連携,対応ENDあり,正常系,同値分割,"Direction=get / RequireEndFile=true","get実行する","対応ENDのあるリモートデータのみダウンロードする。",○,,
ENDファイル制御,設定検証,TransferEndFilesのみ,RequireEndFile無し,正常系,デシジョンテーブル,"TransferEndFiles=true / RequireEndFile=false","アプリを起動する","警告（対応データが対象になったENDのみ転送される旨）を表示して継続。",○,,
ENDファイル制御,設定検証,拡張子未設定,END拡張子空,異常系,デシジョンテーブル,"TransferEndFiles=true / EndFileExtensionsが空","アプリを起動する","起動時バリデーションでエラー。終了コード1。",○,,
ENDファイル制御,設定検証,不正拡張子,TransferEndFilesのみ,異常系,同値分割,"TransferEndFiles=true / RequireEndFile=false / EndFileExtensionsに../.end等を含む","アプリを起動する","END転送で実際に使う拡張子として不正値を検出し、起動時バリデーションでエラー。終了コード1。",○,,"★RequireEndFile無効時も検証"
クリーンアップ,ローカル削除,DeleteAfterVerify,put成功後削除,正常系,同値分割,"DeleteAfterVerify=true / 転送成功","put実行する","転送成功後にローカルファイルを削除する。",○,,
クリーンアップ,ローカル削除,削除失敗,権限なし,異常系,エラー推測,"削除権限が無い状況 / 転送は成功","put実行する","削除失敗を警告ログのみで記録し、処理は継続する（転送自体は成功扱い）。",○,,
クリーンアップ,リモート削除,DeleteRemoteAfterDownload,get成功後削除,正常系,同値分割,"DeleteRemoteAfterDownload=true","get実行する","ダウンロード成功後にリモートファイルを削除する。",○,,
クリーンアップ,リモートEND,DeleteRemoteEndFiles,リモートEND削除,正常系,同値分割,"DeleteRemoteEndFiles=true","put実行する","END転送成功後にリモートのENDファイルを削除する。",○,,
クリーンアップ,リモートEND,冪等性,リトライ時の再削除回避,正常系,状態遷移,"get / DeleteRemoteEndFiles=true / 前回試行で削除済みのEND","リトライを伴うget実行","既に削除済みのENDの再取得を試みず、存在確認でスキップして失敗にしない（冪等）。",○,,
クリーンアップ,組合せ警告,両削除有効,ローカル+リモート,正常系,デシジョンテーブル,"DeleteAfterVerify=true / DeleteRemoteAfterDownload=true","アプリを起動する","『ローカルとリモート双方を削除する。バックアップに注意』の警告を表示する。",○,,
ファイルフィルタ,拡張子,一致,対象拡張子,正常系,同値分割,"AllowedExtensions=[.txt] / .txtファイル","put実行する","対象として転送される。",○,,
ファイルフィルタ,拡張子,不一致,対象外拡張子,正常系,同値分割,"AllowedExtensions=[.txt] / .csvファイル","put実行する","対象外としてスキップされる。",○,,
ファイルフィルタ,拡張子,ドット有無,txtと.txt,正常系,同値分割,"AllowedExtensions=[txt]（ドット無し）/ .txtファイル","put実行する","ドット有無に関わらず拡張子一致として転送される。",○,,
ファイルフィルタ,ワイルドカード,前方一致,data_*.csv,正常系,同値分割,"AllowedExtensions=[data_*.csv] / data_1.csv と other.csv","put実行する","data_で始まる.csvのみ転送され、other.csvは対象外。",○,,
ファイルフィルタ,ワイルドカード,拡張子グロブ,*.txt,正常系,同値分割,"AllowedExtensions=[*.txt]","put実行する",".txtのみ転送される。",○,,
ファイルフィルタ,ワイルドカード,単一文字,?.log,正常系,境界値分析,"AllowedExtensions=[?.log] / a.log と ab.log","put実行する","1文字+.log（a.log）のみ一致し、ab.logは対象外。",○,,"? は1文字"
ファイルフィルタ,大小無視,大文字拡張子,.TXT,正常系,同値分割,"AllowedExtensions=[.txt] / .TXTファイル","put実行する","大文字小文字を無視して一致し転送される。",○,,
ファイルフィルタ,空配列,全件対象,空指定,正常系,境界値分析,"AllowedExtensions=[]（空）","put実行する","全ファイルが対象になる。起動時に『全ファイル対象』の警告を表示。",○,,"フィルタ無しの境界"
ファイルフィルタ,不正,空白拡張子,無効値,異常系,同値分割,"AllowedExtensionsに空白要素を含む","アプリを起動する","起動時バリデーションで無効な拡張子エラー。終了コード1。",○,,
ファイルフィルタ,不正,null配列,未指定null,異常系,同値分割,"AllowedExtensionsがnull","アプリを起動する","『nullは不可。全ファイル対象なら空配列を使う』エラー。終了コード1。",○,,
サブフォルダ,サブ含む,IncludeSubfolders,再帰列挙,正常系,同値分割,"IncludeSubfolders=true / サブフォルダにファイル","put実行する","サブフォルダ内のファイルも対象として転送される。",○,,
サブフォルダ,構造保持,PreserveFolderStructure,構造維持(put),正常系,デシジョンテーブル,"IncludeSubfolders=true / PreserveFolderStructure=true","put実行する","サブフォルダ構造を保ってリモートに転送される（a/x.txt→/remote/a/x.txt）。",○,,
サブフォルダ,構造保持,PreserveFolderStructure,構造維持(get),正常系,デシジョンテーブル,"Direction=get / IncludeSubfolders=true / PreserveFolderStructure=true","get実行する","サブ構造を保ってローカル保存される。",○,,
サブフォルダ,同名衝突,警告,構造非保持(put),異常系,デシジョンテーブル,"put / IncludeSubfolders=true / PreserveFolderStructure=false","アプリを起動する","異なるサブフォルダの同名ファイルがリモートで上書き衝突し得るとして、起動時にエラー。終了コード1。",○,,"★誤上書き防止のため起動を止める"
サブフォルダ,同名衝突,削除禁止(get),構造非保持+リモート削除,異常系,デシジョンテーブル,"get / IncludeSubfolders=true / PreserveFolderStructure=false / DeleteRemoteAfterDownload=true","アプリを起動する","同名衝突で上書き後に削除する危険があるため起動時エラー。終了コード1。",○,,
サブフォルダ,同名衝突,END削除禁止(get),構造非保持+リモートEND削除,異常系,デシジョンテーブル,"get / 上記条件 / DeleteRemoteEndFiles=true / TransferEndFiles=true","アプリを起動する","リモートENDが上書き後に削除される危険があるため起動時エラー。終了コード1。",○,,
二重起動防止,ロック取得,単独起動,正常取得,正常系,状態遷移,"他に実行中のインスタンスなし","アプリを起動する","PIDロックファイルを取得して処理を開始し、終了時にロックを解放（削除）する。",○,,"未取得→保持→解放の遷移"
二重起動防止,ロック競合,生存プロセス,二重起動,異常系,状態遷移,"前回起動のプロセスが生存中にロックが存在","アプリを再起動する","別インスタンス実行中と判定し、終了コード2で即終了する（処理しない）。",○,,"★二重起動でファイルを取り合わない"
二重起動防止,ロック競合,死んだPID,上書き起動,正常系,状態遷移,"死んだPIDのロックファイルが残存（プロセス名照合も不一致）","アプリを起動する","死んだロックを安全に上書きして起動を継続する。",○,,
二重起動防止,ロックパス,カスタム,LockFilePath指定,正常系,同値分割,"App.LockFilePathを明示指定","アプリを起動する","指定したパスにロックファイルが作成される。",○,,
二重起動防止,ロックパス,既定分離,watch別の既定パス,正常系,同値分割,"LockFilePath未指定 / 異なるWatch.Pathの2構成を並走","それぞれ起動する","既定ロックパスがWatch.Pathごとに分離され、別watchの構成同士は相互ブロックしない。",,,"実機/運用（別watchで並走確認）"
二重起動防止,スケジューラ,定期実行重複,タスク重複起動,正常系,ユースケース,"短間隔でタスクスケジューラ/cron登録 / 前回分が長引く","定期実行させる","前回実行と重なっても二重起動せず（終了コード2で抜け）、安全に1インスタンスのみ動く。",,,"実機/運用"
ロギング,出力,コンソール,標準出力,正常系,同値分割,"既定設定","アプリを起動する","コンソールにタイムスタンプ付きでログが出力される。",○,,
ロギング,出力,ファイル,ファイル出力,正常系,同値分割,"RollingFilePathを指定","アプリを起動する","指定ファイルにもログが出力される。",○,,
ロギング,出力,無効,ファイルログ無効,正常系,境界値分析,"RollingFilePathを空","アプリを起動する","ファイルログは作られず、コンソールのみに出力される。",○,,
ロギング,レベル,絞り込み,最小レベル,正常系,同値分割,"Level=Warning","アプリを起動する","Warning以上のログのみ出力され、Info/Debugは出ない。",○,,
ロギング,レベル,不正値,無効レベル,異常系,同値分割,"Level=NotALevel","アプリを起動する","警告を表示し、既定Informationにフォールバックして継続する。",○,,
ロギング,ローテーション,日付別,日次ファイル,正常系,状態遷移,"日付をまたぐ運用","継続的に起動/ログ出力","yyyy/MM配下に日付別ファイルが作成され、日付が変わると新ファイルへ切り替わる。",○,,
ロギング,ローテーション,サイズ,MaxBytes超過,正常系,境界値分析,"小さいMaxBytes / 大量ログ","ログを大量出力させる","MaxBytes超過で連番ファイル（_1,_2…）へ分割される。",○,,
ロギング,ローテーション,サイズ境界,MaxBytes最小,異常系,境界値分析,"MaxBytes=1023（最小1024未満）","アプリを起動する","範囲外として起動時バリデーションでエラー（1024以上が必要）。",○,,"下限境界"
ロギング,保持,削除,古いログ削除,正常系,境界値分析,"Retention.Enabled=true / RetentionDays=7","アプリを起動する","起動時に基準日（当日-7日）より前のログファイルと、空になった年/月フォルダを削除する。",○,,
ロギング,保持,当日保持,当日ログは残る,正常系,境界値分析,"RetentionDays=1","アプリを起動する","当日（および前日）のログは削除されない（24時間経過ではなく日付比較）。",○,,"保持期間の境界"
ロギング,保持,無効,削除しない,正常系,デシジョンテーブル,"Retention.Enabled=false（既定）","アプリを起動する","古いログを削除せず蓄積を継続する。",○,,
ロギング,保持,不正名,パース不能,正常系,同値分割,"日付をパースできない名前のファイルが混在","アプリを起動する","パース不能なファイルやプレフィックス不一致のファイルはスキップ（削除しない）。",○,,
ロギング,保持,範囲外,RetentionDays境界,異常系,境界値分析,"RetentionDays=0 または 3651","アプリを起動する","許容範囲（1-3650）外として起動時エラー。",○,,"上下限の直外"
メール通知,送信,エラー通知,Error発生で送信,正常系,同値分割,"Smtp.Enabled=true / 転送が失敗しErrorログが出る","put実行する","Errorログ発生でメールが（非同期に）送信キューへ入る。",○,,"送信ロジックは自動テスト"
メール通知,送信,実受信,実SMTP受信確認,正常系,ユースケース,"実SMTPサーバ設定 / 転送失敗を起こす","put実行する","設定した宛先に実際にエラーメールが届く。",,,"実SMTP必要"
メール通知,送信,TLS,UseTls,正常系,デシジョンテーブル,"UseTls=true / 実SMTP","put実行する（失敗発生）","TLSで送信される。",,,"実SMTP必要"
メール通知,送信,上限,MaxEmailsPerRun,正常系,境界値分析,"MaxEmailsPerRun=5 / 多数のエラー発生","put実行する","上限（5通）を超えてメール送信しない（メール洪水防止）。超過時は抑制の警告を1回出す。",○,,
メール通知,送信,無制限,MaxEmailsPerRun=0,正常系,境界値分析,"MaxEmailsPerRun=0","put実行する","0以下は無制限として全エラーを送信する。",○,,"0は無制限の境界"
メール通知,送信,終了時ドレイン,終了直前のエラー,正常系,状態遷移,"終了直前にErrorが発生","put実行する","プロセス終了時に最大15秒、送信中メールの完了を待ち、最終エラー通知を取りこぼさない。",○,,
メール通知,設定検証,必須欠落,From/To未設定,異常系,デシジョンテーブル,"Smtp.Enabled=true / Fromが空 または To空","アプリを起動する","起動時バリデーションでエラー。終了コード1。",○,,"Enabled時のみ必須判定"
メール通知,設定検証,不正アドレス,From書式不正,異常系,同値分割,"Smtp.Enabled=true / Fromが不正なメール書式","アプリを起動する","メールアドレス書式エラーで起動失敗。終了コード1。",○,,
メール通知,無効,送信なし,Enabled=false,正常系,デシジョンテーブル,"Smtp.Enabled=false / Error発生","put実行する","メールを一切送信しない（接続/宛先未設定でも起動できる）。",○,,
設定バリデーション,方向,不正値,Direction誤り,異常系,同値分割,"Direction=foo","アプリを起動する","エラー。終了コード1。",○,,
設定バリデーション,ポート,範囲外,Port=0/70000,異常系,境界値分析,"Port=0 または 70000","アプリを起動する","1-65535範囲外としてエラー。終了コード1。",○,,"上下限の直外"
設定バリデーション,タイムアウト,範囲外,TimeoutSeconds範囲外,異常系,境界値分析,"TimeoutSeconds=0 または 4000","アプリを起動する","1-3600範囲外としてエラー。終了コード1。",○,,"上下限の直外"
設定バリデーション,タイムアウト,警告,極端に短い,正常系,境界値分析,"TimeoutSeconds=10","アプリを起動する","『短すぎて大ファイル/低速網で失敗し得る』警告を表示して継続。",○,,
設定バリデーション,JSON,不正,構文エラー,異常系,同値分割,"壊れたappsettings.json","アプリを起動する","設定読込エラーで起動に失敗する。",○,,
設定バリデーション,情報,ハッシュ無効,Info通知,正常系,デシジョンテーブル,"Hash.Enabled=false","アプリを起動する","『ハッシュ検証無効』のInfoを表示して継続。",○,,
設定バリデーション,組合せ,UseServerCommand,SFTP矛盾,正常系,デシジョンテーブル,"Mode=sftp / Hash有効 / UseServerCommand=true","アプリを起動する","SFTPはサーバーハッシュ非対応の警告を表示して継続。",○,,
設定バリデーション,リトライ,極端値,Delay極端,正常系,境界値分析,"DelaySeconds=400","アプリを起動する","『長すぎて実行時間が伸びる』警告を表示して継続。",○,,
設定バリデーション,組合せ,高並列高リトライ,サーバ負荷,正常系,デシジョンテーブル,"Concurrency>8 かつ MaxAttempts>5","アプリを起動する","過負荷の恐れの警告を表示して継続。",○,,
終了コード,正常,コード0,成功終了,正常系,同値分割,"全件成功（または対象0件）","put実行する","終了コード0で終了する。",○,,
終了コード,失敗,コード1,転送失敗あり,異常系,同値分割,"1件以上の転送失敗","put実行する","終了コード1で終了する。",○,,
終了コード,失敗,コード1,設定エラー,異常系,同値分割,"設定不正","アプリを起動する","終了コード1で終了する。",○,,
終了コード,二重起動,コード2,ロック競合,異常系,同値分割,"二重起動（生存プロセスあり）","アプリを起動する","終了コード2で終了する。",○,,"監視で起動失敗と区別可能"
コマンドライン上書き,設定上書き,引数指定,Concurrency上書き,正常系,同値分割,"--Transfer:Concurrency=4 を引数指定","引数付きで起動する","appsettings.jsonの値を引数値で上書きして動作する。",○,,
セキュリティ,パストラバーサル,get,危険パス拒否,異常系,同値分割,"リモート名に ../ 等のパストラバーサルを含む","get実行する","セグメント単位で危険パスを検出し、Watch.Path外への書き込みを拒否する。",○,,"★誤った場所への保存防止"
セキュリティ,パストラバーサル,正当名,誤検知なし,正常系,境界値分析,"report..pdf のような正当なファイル名（..を含むが攻撃でない）","get実行する","正当なファイル名は拒否しない（過剰検知しない）。",○,,"単純文字列包含ではない判定"
セキュリティ,ファイル名,不正文字,無効文字,異常系,同値分割,"制御文字や255超の長すぎる名前を含むリモート","get実行する","不正なファイル名を拒否する。",○,,
ユースケース,複数拠点配信,1拠点ダウン,日次アウトボックス,正常系,ユースケース,"3拠点（primary/大阪/東京）/ DeleteAfterVerify=true / 大阪が1日メンテで停止","毎時put実行（メンテ中→復旧後）","メンテ中は到達拠点へ重複配信せず大阪のみ再送し続け、復旧時に大阪だけ配信して完了→ローカル削除。他拠点へは二重配信されない。",○,,"配信トラッキングの主目的シナリオ"
ユースケース,受信集約,get+削除,リモート回収,正常系,ユースケース,"Direction=get / DeleteRemoteAfterDownload=true / RequireEndFile=true","定期get実行","ENDが揃ったデータのみ回収し、ダウンロード成功後にリモートを削除して二重回収を防ぐ。",○,,
ユースケース,大量並列,高スループット,多数ファイル一括,正常系,ユースケース,"Concurrency=8 / 数百ファイル","put実行する","接続を使い回しつつ8並列で全件転送し、接続枯渇や同時使用なく完了する。",○,,
ユースケース,定期バッチ,スケジューラ運用,無人運用,正常系,ユースケース,"タスクスケジューラ/cronで5分間隔起動","継続運用する","起動ごとに現存ファイルを処理して終了し、重なっても二重起動せず、失敗時のみ終了コード1とメールで通知される。",,,"実機/運用"
配布運用,publish,自己完結,単一ファイル発行,正常系,同値分割,"--self-contained で発行","対象OSで実行する","ランタイム未導入のサーバでも起動・動作する（OS依存ライブラリは必要）。",,,"実機/対象OS"
配布運用,スケジューラ,Windows,タスク登録実行,正常系,ユースケース,"schtasksで登録","定期実行させる","定期的に起動して処理する。",,,"実機/運用"
配布運用,スケジューラ,cron,cron実行,正常系,ユースケース,"crontabで登録","定期実行させる","定期的に起動して処理する。",,,"実機/運用"
配布運用,環境,Development,開発設定上書き,正常系,デシジョンテーブル,"DOTNET_ENVIRONMENT=Development","アプリを起動する","appsettings.Development.jsonがappsettings.jsonに上書き適用される。",,,"実機確認"
運用停止,プロセス停止,転送中,Ctrl+C/サービス停止,異常系,エラー推測,"大容量転送中にCtrl+C、Windowsサービス停止、またはSIGTERM相当を送る","停止後に同じ入力で再実行する","停止時に検証用一時ファイルやupload snapshotが残留し続けず、プロセスロックが解放され、再実行で未完了ファイルを処理できる。",,,"実機/OS依存（シグナル・サービス制御）"
運用停止,プロセス停止,リトライ待ち,待機中停止,異常系,状態遷移,"リトライ待ち中、またはファンアウトで一部宛先が詰まっている状態","プロセスを停止して再実行する","停止がハングせず終了し、成功済み宛先マーカーとRetryDirectoryの状態が矛盾せず、再実行で未配信宛先だけ処理される。",,,"実機/タイミング依存"
運用停止,強制終了,一時ファイル残留,強制kill/電源断後の起動掃除,異常系,状態遷移,"転送中にプロセスを強制終了（kill -9相当）または電源断で異常終了させ、upload snapshot（put/EnableUploadSnapshot=true）やダウンロード検証用一時ファイル（get）を残す","同じ入力で再実行する","次回起動時にエージェント専用ディレクトリの残骸のみを掃除する。upload snapshotは構成別の<TEMP>/FtpTransferAgent/upload-snapshots/<watchハッシュ>配下、getは Watch.Path 配下の .ftptransferagent-tmp 配下のみ削除する。利用者ファイルは名前が一時ファイルの命名規則に似ていても消さない。掃除ロジックは自動テスト済み（強制終了の再現は実機）。",○,,"★前回異常終了の残骸を専用ディレクトリ単位で掃除（利用者ファイルは名前パターンで消さない）"
障害注入,ローカル容量,一時領域,TEMP容量不足,異常系,エラー推測,"%TEMP% または同一ボリュームの空き容量を不足させる","put/getを実行する","一時ファイル作成または検証用一時ダウンロードで失敗し、終了コード1。処理済みファイルを誤削除せず、残骸があればログから原因追跡できる。",,,"実機/容量制御が必要"
障害注入,状態保存先,容量/権限,State/Retry/ログ書込不可,異常系,エラー推測,"StateDirectory、RetryDirectory、RollingFilePath配下を容量不足または書込不可にする","部分失敗・ログ出力を伴うputを実行する","状態マーカー/退避/ログ書込失敗が明示され、終了コード1または警告ログとして運用判断できる。元ファイルは消失しない。",,,"実機/権限・容量制御が必要"
